Source,Project Number,Revision,File Path,File Name,File Extension,File Size (bytes),Modification Date,Project Folder Name,Database Match,Project Name,RFP Number,RFP Issue Date,RFP Status,RFP Stage,Company,Contact,Package,Staff Name,Activity,RFP Created At,RFP Updated At,,,,,,,,,
FILE,24-97102,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97102 DMC 2A/01 Client Info/01 Pre Award/RFP - DA EA - Plot 2A _05.02.2024.pdf,RFP - DA EA - Plot 2A _05.02.2024.pdf,pdf,14919916,18/02/2024 11:37,24-97102 DMC 2A,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97102,02,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97102 DMC 2A/02 Proposal/e-24-97102-FP-02 Pricing.xlsx,e-24-97102-FP-02 Pricing.xlsx,xlsx,12207,28/02/2024 14:47,24-97102 DMC 2A,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97103,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97103 Canal Three/02 Proposal/e-yy-cccnn-FP-01.indd,e-yy-cccnn-FP-01.indd,indd,2387968,31/10/2023 23:20,24-97103 Canal Three,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97104,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97104 HoH Programming/02 Proposal/e-24-97104-FP-01.pdf,e-24-97104-FP-01.pdf,pdf,101107,12/03/2024 11:27,24-97104 HoH Programming,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97106,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97106 RAK Sled/01 Client Info/01 Pre Award/RFP Sledder Track Lighting_Design Services Final.pdf,RFP Sledder Track Lighting_Design Services Final.pdf,pdf,1354894,25/03/2024 17:07,24-97106 RAK Sled,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97107,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97107 Reserve Cut/02 Proposal/24-97107-FP-01.pdf,24-97107-FP-01.pdf,pdf,104105,29/04/2024 7:41,24-97107 Reserve Cut,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97108,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97108 Tamani Hotel/02 Proposal/24-97108-FP-01.pdf,24-97108-FP-01.pdf,pdf,104101,8/07/2024 12:48,24-97108 Tamani Hotel,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97110,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97110 Masdar B-02/02 Proposal/24-97110-FP-01.pdf,24-97110-FP-01.pdf,pdf,107728,19/08/2024 16:51,24-97110 Masdar B-02,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97111,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-97111 Masdar OS-48/01 Client Info/01 Pre Award/Masdar City HQ - RFP for LEAD CONSULTANCY SERVICES.pdf,Masdar City HQ - RFP for LEAD CONSULTANCY SERVICES.pdf,pdf,4438509,9/08/2024 8:24,24-97111 Masdar OS-48,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-97113,01,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/24-97113 Level 63/02 Proposal/24-97113-FP-01.pdf,24-97113-FP-01.pdf,pdf,103281,14/10/2024 7:37,24-97113 Level 63,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-99401,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-99401 Victory Museum BAKU/02 Proposal/24-99401-FP-01.indd,24-99401-FP-01.indd,indd,2387968,16/03/2024 10:09,24-99401 Victory Museum BAKU,NO,,,,,,,,,,,,,,,,,,,,,
FILE,Project Number,Revision Number,Full File Path,File Name,File Extension,File Size (bytes),Modification Date,Project Folder Name,NO,,,,,,,,,,,,,,,,,,,,,
